municipio,populacao,PIB
Montalvânia,14160.0,165415.549
Monte Alegre de Minas,20666.0,757891.676
Monte Azul,20577.0,256131.6
Monte Belo,13340.0,365890.025
Monte Carmelo,49354.0,1558715.522
Monte Formoso,4449.0,44054.664
Monte Santo de Minas,21301.0,483352.444
Montes Claros,434321.0,10800251.127
Monte Sião,24933.0,606447.925
Montezuma,6979.0,91070.653
Morada Nova de Minas,9364.0,541170.863
Morro da Garça,2438.0,51050.961
Morro do Pilar,3174.0,44118.412
Munhoz,7857.0,128562.707
Muriaé,108161.0,2655056.073
Mutum,28670.0,508583.276
Muzambinho,22527.0,535441.387
Nacip Raydan,2437.0,37386.162
Nanuque,35554.0,808599.244
Naque,6442.0,90048.43
Natalândia,3626.0,75129.22
Natércia,4800.0,115353.668
Nazareno,8390.0,668881.684
Nepomuceno,25774.0,618502.085
Ninheira,10915.0,126383.631
Nova Belém,3156.0,83427.987
Nova Era,17807.0,432890.662
Nova Lima,119142.0,21042645.561
Nova Módica,3731.0,58650.382
Nova Ponte,15113.0,1116305.097
Nova Porteirinha,6780.0,116257.078
Nova Resende,16854.0,385669.16
Nova Serrana,112910.0,2635891.717
Novo Cruzeiro,27453.0,330447.377
Novo Oriente de Minas,10501.0,121570.796
Novorizonte,4630.0,70417.301
Olaria,1986.0,31909.408
Olhos-d'Água,5520.0,211931.366
Olímpio Noronha,2616.0,43929.179
Oliveira,40552.0,1105050.646
Oliveira Fortes,2062.0,40532.048
Onça de Pitangui,3027.0,64915.46
Oratórios,5076.0,70863.711
Orizânia,8759.0,122059.387
Ouro Branco,40411.0,8842769.128
Ouro Fino,33227.0,934188.838
Ouro Preto,77601.0,9520034.932
Ouro Verde de Minas,5858.0,67813.645
Padre Carvalho,5085.0,58192.195
Padre Paraíso,17537.0,213919.495
Paineiras,4273.0,82825.181
Pains,8341.0,531428.183
Pai Pedro,5634.0,58645.028
Paiva,1498.0,27300.805
Palma,5742.0,103673.351
Palmópolis,6373.0,63873.542
Papagaios,14207.0,374342.746
Paracatu,98397.0,7198616.577
Pará de Minas,102033.0,4025297.487
Paraguaçu,22357.0,650753.977
Paraisópolis,21005.0,592589.517
Paraopeba,24800.0,918486.788
Passabém,1617.0,23595.314
Passa Quatro,15842.0,472422.871
Passa Tempo,8696.0,480322.268
Passa Vinte,2301.0,42087.451
Passos,116530.0,3024708.966
Patis,4863.0,55018.0
Patos de Minas,167870.0,6145130.273
Patrocínio,93852.0,3678403.581
Patrocínio do Muriaé,5735.0,116065.17
Paula Cândido,8786.0,136814.576
Paulistas,4429.0,67350.016
