municipio,populacao,PIB,area_ha
Pedra do Indaiá,4232.0,116153.961,4.194442163888541
Pedra Dourada,2883.0,42293.097,0.0
Pedralva,10924.0,182677.511,0.0
Pedras de Maria da Cruz,10619.0,109590.225,49.56203414241407
Pedrinópolis,3404.0,204115.255,130.12630731837936
Pedro Leopoldo,64910.0,1939056.014,2.127338056661513
Pedro Teixeira,1854.0,30267.885,0.0
Pequeri,3448.0,62540.379,0.0
Pequi,4258.0,85506.463,0.0
Perdigão,12925.0,227189.699,0.0
Perdizes,17830.0,1629092.268,262.9833012897783
Perdões,21991.0,627040.664,1.6448059075788188
Periquito,6647.0,111678.275,118.25190275752381
Pescador,3587.0,47101.487,0.0
Piau,2854.0,92671.585,0.0
Piedade de Caratinga,8883.0,140777.928,0.0
Piedade de Ponte Nova,4056.0,62734.703,25.768949575592224
Piedade do Rio Grande,4697.0,110400.851,20.666316917590535
Piedade dos Gerais,5175.0,89820.775,0.0
